Timestamp,Machine,Power,Mode,Execution,Program,Line,Sload,Xload,Yload,Zload,Aload,Bload,Cload,Tool,RPM,AlarmState,AlarmSeverity,Alarm,PartsCount,Feedrate
12/02/2009 14:42:25,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,10,4,38,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:42:35,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,5,7,43,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:42:45,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,4,5,44,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:42:55,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,7,8,44,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:43:06,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,6,5,44,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:43:16,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,9,2,39,0,,0,50,1031,CLEARED,INFO,,,4.74
12/02/2009 14:43:26,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,6,5,44,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:43:36,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,7,3,39,0,,0,50,1031,CLEARED,INFO,,,4.761666667
12/02/2009 14:43:47,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,6,5,43,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:43:57,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,4,7,45,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:44:07,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,7,5,39,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:44:18,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,5,7,44,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:44:28,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,7,4,39,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:44:38,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,4,9,45,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:44:48,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,5,4,39,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:44:59,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,8,2,43,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:45:09,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,5,5,39,0,,0,50,1031,CLEARED,INFO,,,5
12/02/2009 14:45:19,m25751.nw.nos.boeing.com,ON,AUTOMATIC,EXECUTING,117Z2716-54_1-1,0,0,9,0,43,0,,0,50,1031,CLEARED,INFO,,,5
